"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"CHAIN",2.5,2.5,4.00052009931327,1.5,0.95,1,4,NA,NA,NA,NA,NA,NA,NA
"beta0",991.486354533333,991.5245,990.754872131673,13712.2,0.95,947.288,1035.19,NA,NA,NA,NA,NA,NA,NA
"beta[1]",12.82344016846,12.8043,12.9612126582383,12739.7,0.95,4.28948,21.6193,NA,NA,NA,NA,NA,NA,NA
"beta[2]",-2.877401848,-2.876685,-2.85244337319338,12537.1,0.95,-3.31425,-2.43692,NA,NA,NA,NA,NA,NA,NA
"sigma",31.5577815666667,31.39185,31.4807920446687,14117.3,0.95,24.1782,39.4412,NA,NA,NA,NA,NA,NA,NA
"zbeta0",-0.00143714807328607,-0.0016409,-0.00287259673831536,15000,0.95,-0.125714,0.119171,NA,NA,NA,NA,NA,NA,NA
"zbeta[1]",0.233570408426667,0.233222,0.236079755671257,12739.7,0.95,0.0782629,0.393913,NA,NA,NA,NA,NA,NA,NA
"zbeta[2]",-1.02921211886667,-1.028955,-1.02028646110958,12537.1,0.95,-1.18547,-0.871658,NA,NA,NA,NA,NA,NA,NA
"zsigma",0.421779552666667,0.419562,0.420750371918262,14117.3,0.95,0.323149,0.527143,NA,NA,NA,NA,NA,NA,NA
"nu",34.2491809926667,25.24165,11.585591081382,10731.3,0.95,1.83872,93.0398,NA,NA,NA,NA,NA,NA,NA
"log10(nu)",1.38589957095654,1.40211773970866,1.54352282597667,12119.7,0.95,0.670677149386709,2.08904626637297,NA,NA,NA,NA,NA,NA,NA
