"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta0[1]",-46.851669677445,-43.06155,-40.9217929459203,16709.5,0.95,-190.45,80.2632,NA,NA,NA,NA,NA,NA,NA
"beta0[2]",27.302817354717,19.3994,-0.558212149170686,8750.9,0.95,-85.3878,165.333,NA,NA,NA,NA,NA,NA,NA
"beta0[3]",-19.7911944820665,-26.238,-28.9823178369812,7296.5,0.95,-139.809,120.798,NA,NA,NA,NA,NA,NA,NA
"beta0[4]",-36.6726545099,-34.76725,-31.422631322376,18534.7,0.95,-199.424,135.329,NA,NA,NA,NA,NA,NA,NA
"beta0[5]",-58.02923247013,-61.7869,-60.2711644661641,13547.7,0.95,-181.474,71.9594,NA,NA,NA,NA,NA,NA,NA
"beta0[6]",-188.899719182275,-177.8555,-138.563426854168,6584.6,0.95,-359.216,-40.8601,NA,NA,NA,NA,NA,NA,NA
"beta0[7]",-57.387631494466,-57.99535,-57.734338920802,17578,0.95,-214.032,97.7768,NA,NA,NA,NA,NA,NA,NA
"beta0[8]",-85.970606955025,-80.4026,-69.7373681033471,11156,0.95,-214.656,35.1766,NA,NA,NA,NA,NA,NA,NA
"beta0[9]",-63.000220693125,-64.74155,-67.519073902615,15975.7,0.95,-188.837,61.8803,NA,NA,NA,NA,NA,NA,NA
"beta0[10]",-46.26718158051,-52.1276,-75.1997658770904,8028.6,0.95,-164.13,81.6089,NA,NA,NA,NA,NA,NA,NA
"beta0[11]",-48.74283681129,-43.129,-31.0483105517074,15236,0.95,-202.85,97.6559,NA,NA,NA,NA,NA,NA,NA
"beta0[12]",-74.9938113952445,-73.25345,-73.3600860327081,14755.3,0.95,-221.841,69.2184,NA,NA,NA,NA,NA,NA,NA
"beta0[13]",-24.7591270270993,-20.48235,-16.010504364737,14324.2,0.95,-163.311,97.6583,NA,NA,NA,NA,NA,NA,NA
"beta0[14]",-23.910559231922,-23.4236,-19.8500759729862,15188.7,0.95,-126.875,72.849,NA,NA,NA,NA,NA,NA,NA
"beta0[15]",-39.8183253852085,-41.8351,-38.5261806264977,17582.5,0.95,-186.643,112.397,NA,NA,NA,NA,NA,NA,NA
"beta0[16]",-40.809760970865,-40.8326,-43.8424914856642,16585.9,0.95,-166.034,75.2132,NA,NA,NA,NA,NA,NA,NA
"beta0[17]",-47.596751007678,-48.739,-45.9650639671848,15326.2,0.95,-160.44,69.0631,NA,NA,NA,NA,NA,NA,NA
"beta0[18]",-118.47435207953,-112.588,-100.455307300673,8388.5,0.95,-248.113,-8.31953,NA,NA,NA,NA,NA,NA,NA
"beta0[19]",-58.829568087163,-53.566,-39.3197531302466,15432.9,0.95,-237.617,113.678,NA,NA,NA,NA,NA,NA,NA
"beta0[20]",-41.321683125675,-37.2162,-27.7358591074009,17554.4,0.95,-195.229,117.672,NA,NA,NA,NA,NA,NA,NA
"beta0[21]",-41.9230678312885,-35.3901,-21.6661163644578,10211.3,0.95,-170.025,71.2214,NA,NA,NA,NA,NA,NA,NA
"beta0[22]",-112.408838965035,-104.7525,-91.266357669452,9157.1,0.95,-256.876,13.0942,NA,NA,NA,NA,NA,NA,NA
"beta0[23]",-118.088373724575,-113.0605,-89.2353495567285,6412.6,0.95,-236.304,-11.3902,NA,NA,NA,NA,NA,NA,NA
"beta0[24]",15.4462877137293,9.377995,-4.31271443490198,12213.9,0.95,-99.4249,143.354,NA,NA,NA,NA,NA,NA,NA
"beta0[25]",-49.03797118666,-60.0063,-81.7884183778762,10482.7,0.95,-221.556,137.622,NA,NA,NA,NA,NA,NA,NA
"beta1[1]",3.348420944705,3.281435,3.14570970460029,16493.2,0.95,1.42332,5.6444,NA,NA,NA,NA,NA,NA,NA
"beta1[2]",2.4392446369117,2.56085,2.90660185149411,8690.2,0.95,0.349464,4.3184,NA,NA,NA,NA,NA,NA,NA
"beta1[3]",2.2726315941449,2.36672,2.44808790807585,7199.7,0.95,0.399917,3.9543,NA,NA,NA,NA,NA,NA,NA
"beta1[4]",3.1864515031038,3.151345,3.08389971845745,16909,0.95,0.879542,5.80098,NA,NA,NA,NA,NA,NA,NA
"beta1[5]",2.8289524761673,2.888235,3.02745354179516,13545.5,0.95,1.02679,4.4845,NA,NA,NA,NA,NA,NA,NA
"beta1[6]",4.07536482555,3.92267,3.44970808655368,6605.8,0.95,2.21127,6.36286,NA,NA,NA,NA,NA,NA,NA
"beta1[7]",3.1089270064535,3.113245,3.07856202892612,17160.6,0.95,1.00634,5.29902,NA,NA,NA,NA,NA,NA,NA
"beta1[8]",3.50452548965,3.41767,3.304927268889,11024,0.95,1.72801,5.45732,NA,NA,NA,NA,NA,NA,NA
"beta1[9]",2.987214029594,3.01925,3.07754546436172,16017.7,0.95,1.1168,4.84891,NA,NA,NA,NA,NA,NA,NA
"beta1[10]",2.3810336054818,2.46048,2.80202154726214,7947.7,0.95,0.572562,3.9402,NA,NA,NA,NA,NA,NA,NA
"beta1[11]",3.4050692944765,3.313805,3.23621139095727,15135.1,0.95,1.15762,5.83041,NA,NA,NA,NA,NA,NA,NA
"beta1[12]",3.2186479725335,3.18947,3.12254514172224,14747.9,0.95,1.20891,5.31011,NA,NA,NA,NA,NA,NA,NA
"beta1[13]",3.3397051382505,3.27265,3.1782515007315,14143.5,0.95,1.30885,5.68061,NA,NA,NA,NA,NA,NA,NA
"beta1[14]",3.175545628555,3.164865,3.08628379887388,15008.4,0.95,1.5018,4.77829,NA,NA,NA,NA,NA,NA,NA
"beta1[15]",3.004219665854,3.04429,3.13997397312225,16366.3,0.95,0.740229,5.41573,NA,NA,NA,NA,NA,NA,NA
"beta1[16]",3.0882667269233,3.091115,3.02001204986328,16503.3,0.95,1.33473,4.96653,NA,NA,NA,NA,NA,NA,NA
"beta1[17]",3.006069443085,3.02506,3.07989089526258,15266.2,0.95,1.34911,4.6293,NA,NA,NA,NA,NA,NA,NA
"beta1[18]",3.6840361505,3.59454,3.43595768213661,8387.8,0.95,2.04819,5.5001,NA,NA,NA,NA,NA,NA,NA
"beta1[19]",3.3262177725853,3.24507,3.15599730356633,15181.5,0.95,0.826296,6.01784,NA,NA,NA,NA,NA,NA,NA
"beta1[20]",3.295861324702,3.2308,3.09652750631032,17562.5,0.95,1.0322,5.75317,NA,NA,NA,NA,NA,NA,NA
"beta1[21]",3.6788392423935,3.556175,3.33822863377123,10026,0.95,1.7916,5.8757,NA,NA,NA,NA,NA,NA,NA
"beta1[22]",3.65227383674,3.532895,3.34389353020124,9184.9,0.95,1.73665,5.80186,NA,NA,NA,NA,NA,NA,NA
"beta1[23]",3.83493815505,3.75312,3.41741208982667,6709.7,0.95,2.26859,5.63636,NA,NA,NA,NA,NA,NA,NA
"beta1[24]",2.57982019687705,2.700265,2.98297399530351,11794.6,0.95,0.255667,4.63866,NA,NA,NA,NA,NA,NA,NA
"beta1[25]",2.50182054697085,2.646615,2.95532117918985,10192,0.95,0.201986,4.49729,NA,NA,NA,NA,NA,NA,NA
"beta0mu",-56.058792737731,-55.96805,-55.1531251516868,8309.3,0.95,-117.473,5.63758,NA,NA,NA,NA,NA,NA,NA
"beta1mu",3.157744463,3.1554,3.12815282747026,8091.6,0.95,2.24971,4.04718,NA,NA,NA,NA,NA,NA,NA
"zbeta0[1]",0.7630042579445,0.7645955,0.774896424986498,19204.6,0.95,0.249295,1.28778,NA,NA,NA,NA,NA,NA,NA
"zbeta0[2]",1.17379971187,1.177435,1.17440879116617,13743.7,0.95,0.684427,1.66989,NA,NA,NA,NA,NA,NA,NA
"zbeta0[3]",-0.64481347250712,-0.6435805,-0.620100535857016,13296,0.95,-1.19635,-0.0804324,NA,NA,NA,NA,NA,NA,NA
