"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta0[1]",18797.24734033,18992.55,20579.6394717353,12456.2,0.95,5054.62,32846.8,NA,NA,NA,NA,NA,NA,NA
"beta0[2]",45714.0059185,45751.45,47380.8695016275,19527.8,0.95,26610.1,64191.4,NA,NA,NA,NA,NA,NA,NA
"beta0[3]",37328.4776867,37654.65,37780.9039354194,14172.3,0.95,23893.5,50976.4,NA,NA,NA,NA,NA,NA,NA
"beta0[4]",23459.221061275,23951.3,25357.2815722494,17615.6,0.95,9851.73,36461.1,NA,NA,NA,NA,NA,NA,NA
"beta0[5]",46858.538643,46890.05,46533.1271767371,2858.4,0.95,32616.9,60670.3,NA,NA,NA,NA,NA,NA,NA
"beta0[6]",38944.9835793,39588.25,40837.5757755131,13145.6,0.95,22965.9,53888.5,NA,NA,NA,NA,NA,NA,NA
"beta0[7]",29700.05339206,29731.65,30502.6423230692,11587.7,0.95,10734.2,46828.5,NA,NA,NA,NA,NA,NA,NA
"beta0[8]",28876.335280775,28730.25,28173.7233464842,18944,0.95,11317,45903.2,NA,NA,NA,NA,NA,NA,NA
"beta0[9]",37646.7844248475,37529.2,36327.5486190044,20000,0.95,4680.13,68970.4,NA,NA,NA,NA,NA,NA,NA
"beta0[10]",29293.60073595,29622.65,31398.687514341,5114.5,0.95,17800.6,41209.3,NA,NA,NA,NA,NA,NA,NA
"beta0[11]",29101.32913595,29817.35,31300.4366287429,10779.3,0.95,15843.1,40508.5,NA,NA,NA,NA,NA,NA,NA
"beta0[12]",29656.703984,29253.05,29258.8156342063,19296.8,0.95,13987,47023.1,NA,NA,NA,NA,NA,NA,NA
"beta0[13]",26637.761370505,26907.8,26803.9228418245,16814,0.95,10961.5,41295.9,NA,NA,NA,NA,NA,NA,NA
"beta0[14]",28035.179981,28130.95,28199.9514649166,12035.9,0.95,18107.4,37453.4,NA,NA,NA,NA,NA,NA,NA
"beta0[15]",22132.578404855,22630.3,24073.527497669,6984.5,0.95,10377.4,31748.1,NA,NA,NA,NA,NA,NA,NA
"beta0[16]",27553.26720655,27989.2,29005.4981326974,13083,0.95,15069.7,38357.7,NA,NA,NA,NA,NA,NA,NA
"beta0[17]",25216.3741046,25160.3,24913.4325165178,17943.1,0.95,13304.4,36767.2,NA,NA,NA,NA,NA,NA,NA
"beta0[18]",14960.0583999357,15344.75,16212.0768548203,10095.7,0.95,2418.94,26396.9,NA,NA,NA,NA,NA,NA,NA
"beta0[19]",11258.487554896,11411.5,11333.1065196017,13177.2,0.95,-2627.6,23482.3,NA,NA,NA,NA,NA,NA,NA
"beta0[20]",17539.629243087,17503.2,17643.5265386277,16265.5,0.95,2403.33,32325.3,NA,NA,NA,NA,NA,NA,NA
"beta0[21]",37058.9566015,36988.8,36956.5478517352,13506.9,0.95,22127.7,50753.1,NA,NA,NA,NA,NA,NA,NA
"beta0[22]",16546.9448346628,15678.1,15485.1651876444,12591.5,0.95,-5818.08,42513.8,NA,NA,NA,NA,NA,NA,NA
"beta0[23]",14390.29059203,14728.55,15902.9185545138,5187.6,0.95,4457.8,23809,NA,NA,NA,NA,NA,NA,NA
"beta0[24]",19282.04786725,19327.15,20163.2685985007,11525.1,0.95,8319.94,29837.8,NA,NA,NA,NA,NA,NA,NA
"beta0[25]",18059.7458123505,18631.3,20595.5432368208,15197,0.95,2527.6,32927.4,NA,NA,NA,NA,NA,NA,NA
"beta0[26]",17520.4628579825,17456.55,16132.7657997759,10806.7,0.95,6697.61,28421.7,NA,NA,NA,NA,NA,NA,NA
"beta0[27]",25603.868344565,25671.05,25611.3240378447,17529.1,0.95,9597.11,41338.9,NA,NA,NA,NA,NA,NA,NA
"beta0[28]",23507.27271925,23407.35,23175.509885871,17471.6,0.95,12244.8,35697.6,NA,NA,NA,NA,NA,NA,NA
"beta0[29]",35556.49863495,35815,36009.6774152655,17149.7,0.95,19057.6,52601.6,NA,NA,NA,NA,NA,NA,NA
"beta0[30]",21879.5831609571,20456.4,18162.0996360063,16027.1,0.95,644.564,48154.5,NA,NA,NA,NA,NA,NA,NA
"beta0[31]",17260.677143489,16350.25,15779.7180435993,13365.7,0.95,-532.359,36997.7,NA,NA,NA,NA,NA,NA,NA
"beta0[32]",35535.187308981,36618.05,37765.8440081409,16692.9,0.95,16008.4,52891.2,NA,NA,NA,NA,NA,NA,NA
"beta0[33]",20836.579296655,21391.7,23054.1152331489,7440.6,0.95,8535.08,31581.4,NA,NA,NA,NA,NA,NA,NA
"beta0[34]",27589.49952925,28368.45,29712.5042108863,8527.7,0.95,15750,37917.5,NA,NA,NA,NA,NA,NA,NA
"beta0[35]",25499.167280895,25548.15,25933.4572348009,17829.9,0.95,8583.75,40772.9,NA,NA,NA,NA,NA,NA,NA
"beta0[36]",18153.7445797995,18737.9,20014.1144016322,6846.6,0.95,6478.45,28109.9,NA,NA,NA,NA,NA,NA,NA
"beta0[37]",28779.8605006,29189.1,29430.0119700777,12416.8,0.95,15275.2,40951,NA,NA,NA,NA,NA,NA,NA
"beta0[38]",31793.0410133,32101.5,33477.4390396621,13380.6,0.95,19382.7,43253.8,NA,NA,NA,NA,NA,NA,NA
