"g1id","g2id","y","ix","g1x","g2x"
1,1,5,4,0,0
55,1,5,4,0,0
125,1,4,4,1,0
125,1,4,3,1,0
4,1,5,4,1,0
74,1,5,3,0,0
23,1,4,4,1,0
58,1,4,3,1,0
128,1,4,4,0,0
42,1,5,5,1,0
77,1,4,3,0,0
112,1,4,4,0,0
147,1,3,3,0,0
61,1,5,5,1,0
10,1,4,4,0,0
80,1,5,4,0,0
150,1,3,3,0,0
150,1,3,3,0,0
99,1,3,4,1,0
134,1,3,4,0,0
83,1,4,5,1,0
83,1,5,4,1,0
83,1,3,3,1,0
118,1,4,3,0,0
121,1,3,3,0,0
140,1,4,4,0,0
19,1,5,4,1,0
54,1,4,5,0,0
54,1,2,2,0,0
124,1,5,6,0,0
124,1,5,4,0,0
73,1,4,5,0,0
143,1,5,4,1,0
57,1,3,4,0,0
6,1,3,4,1,0
41,1,4,4,1,0
60,1,3,5,0,0
95,1,3,5,0,0
114,1,1,3,0,0
149,1,2,4,0,0
28,1,5,5,0,0
133,1,4,3,1,0
133,1,3,4,1,0
82,1,5,5,0,0
82,1,5,4,0,0
31,1,4,4,0,0
120,1,3,4,1,0
120,1,4,4,1,0
69,1,5,4,1,0
139,1,5,5,1,0
2,1,5,4,1,0
2,1,6,5,1,0
72,1,4,4,1,0
142,1,3,4,1,0
56,1,4,4,1,0
40,1,4,4,0,0
110,1,6,3,1,0
110,1,6,4,1,0
24,1,5,4,1,0
94,1,4,4,1,0
94,1,4,4,1,0
43,1,5,4,0,0
97,1,4,4,0,0
97,1,5,3,0,0
81,1,5,4,1,0
81,1,6,4,1,0
30,1,3,3,1,0
49,1,4,4,0,0
49,1,5,4,0,0
84,1,6,6,1,0
84,1,5,5,1,0
119,1,4,4,0,0
33,1,4,3,0,0
138,1,2,4,0,0
17,1,2,4,0,0
122,1,3,4,0,0
20,1,4,4,1,0
55,1,4,4,0,0
90,1,3,4,0,0
74,1,4,3,0,0
109,1,3,4,1,0
144,1,4,4,1,0
77,1,4,4,0,0
115,1,4,2,1,0
13,1,5,3,1,0
14,1,3,5,0,0
118,1,4,3,0,0
118,1,4,4,0,0
102,1,4,3,0,0
16,1,5,3,1,0
33,1,5,3,0,0
51,1,4,4,1,0
51,1,4,2,1,0
104,1,5,3,0,0
105,1,4,4,0,0
140,1,3,4,0,0
19,1,4,2,1,0
89,1,2,4,1,0
89,1,4,5,1,0
3,1,4,5,0,0
38,1,4,5,0,0
21,1,5,4,0,0
57,1,3,3,0,0
22,1,5,3,1,0
76,1,4,4,1,0
60,1,3,4,0,0
79,1,5,4,0,0
97,1,4,4,0,0
46,1,4,4,0,0
47,1,3,4,0,0
66,1,5,4,1,0
103,1,4,4,1,0
17,1,3,4,0,0
18,1,3,4,1,0
87,1,3,4,0,0
123,1,5,3,1,0
8,1,3,4,1,0
37,1,5,3,0,0
37,1,5,4,0,0
142,1,3,4,1,0
56,1,4,3,1,0
91,1,4,4,0,0
62,1,3,4,0,0
132,1,5,4,0,0
75,1,4,3,1,0
145,1,4,5,0,0
145,1,3,3,0,0
76,1,4,5,1,0
105,1,3,2,0,0
36,1,4,4,0,0
132,1,3,3,0,0
105,1,4,4,0,0
88,1,4,6,1,0
91,1,4,5,0,0
114,1,3,5,0,0
88,1,3,4,1,0
92,1,3,5,0,0
145,1,3,4,0,0
79,1,4,4,0,0
121,2,6,5,0,1
135,2,3,4,1,1
124,2,3,4,0,1
124,2,4,4,0,1
81,2,2,3,1,1
93,2,4,3,1,1
44,2,2,2,1,1
42,2,3,4,1,1
96,2,5,4,1,1
80,2,3,4,0,1
150,2,4,4,0,1
99,2,5,5,1,1
36,2,3,4,0,1
129,2,5,4,1,1
118,2,2,3,0,1
125,2,5,5,1,1
137,2,5,4,1,1
126,2,4,5,1,1
140,2,4,3,0,1
141,2,4,3,1,1
124,2,3,4,0,1
3,2,3,3,0,1
90,2,4,4,0,1
137,2,4,4,1,1
95,2,6,3,0,1
95,2,4,3,0,1
26,2,4,4,1,1
130,2,3,3,0,1
9,2,5,3,1,1
44,2,3,3,1,1
4,2,3,3,1,1
10,2,3,3,0,1
133,2,6,4,1,1
133,2,5,4,1,1
12,2,5,3,1,1
47,2,3,5,0,1
49,2,4,5,0,1
136,2,5,2,1,1
67,2,4,3,1,1
138,2,5,4,0,1
139,2,3,3,1,1
123,2,2,3,1,1
123,2,3,5,1,1
2,2,4,4,1,1
37,2,2,3,0,1
89,2,4,4,1,1
107,2,4,4,0,1
107,2,5,4,0,1
126,2,4,5,1,1
91,2,3,5,0,1
