"gid","ix1","ix2","gx1","y"
1,5,4,3,3
1,4,5,3,3
1,6,4,3,2
1,5,5,3,4
1,4,5,3,3
1,4,4,3,4
1,4,4,3,3
1,4,3,3,3
1,5,4,3,3
1,2,5,3,3
1,5,5,3,3
1,5,5,3,4
1,4,3,3,4
1,4,4,3,4
1,4,4,3,3
1,5,4,3,4
1,4,4,3,3
1,4,5,3,3
1,4,5,3,3
1,3,4,3,1
1,4,5,3,4
1,5,4,3,4
1,3,3,3,2
1,5,6,3,4
1,6,4,3,4
1,4,4,3,3
1,4,4,3,3
1,3,4,3,2
1,5,5,3,3
1,4,3,3,3
1,4,5,3,4
1,3,4,3,2
1,4,3,3,4
1,5,4,3,4
1,3,5,3,4
1,4,5,3,2
1,4,3,3,3
1,4,5,3,4
2,4,5,7,4
2,3,6,7,3
2,3,3,7,2
2,4,3,7,3
2,5,3,7,3
2,3,4,7,3
2,5,6,7,4
2,6,5,7,4
2,5,4,7,2
2,5,4,7,4
2,5,4,7,3
2,5,4,7,3
2,5,2,7,3
2,5,5,7,3
2,6,3,7,2
2,5,5,7,3
2,6,4,7,4
2,6,4,7,4
2,5,5,7,4
2,3,3,7,3
2,5,4,7,4
2,3,4,7,2
2,6,4,7,3
2,5,4,7,3
2,5,3,7,2
2,5,4,7,4
2,5,4,7,2
2,4,5,7,3
2,6,4,7,4
2,4,5,7,2
2,5,5,7,4
2,5,5,7,5
2,5,6,7,4
2,4,5,7,4
2,5,4,7,3
2,5,3,7,3
2,5,4,7,3
2,5,6,7,4
2,5,3,7,3
2,4,3,7,3
2,3,5,7,3
2,4,4,7,3
3,5,4,6,3
3,5,2,6,4
3,5,4,6,4
3,5,4,6,4
3,5,4,6,3
3,3,4,6,2
3,5,5,6,4
3,5,3,6,3
3,4,4,6,4
3,4,3,6,3
3,4,3,6,2
3,4,4,6,2
3,6,6,6,4
3,6,4,6,3
3,5,4,6,3
3,4,3,6,3
3,4,4,6,3
3,4,3,6,3
3,4,5,6,3
3,7,4,6,5
3,4,3,6,3
3,4,3,6,2
3,6,5,6,5
3,3,3,6,3
3,3,3,6,3
3,6,3,6,2
3,4,4,6,4
3,4,4,6,3
3,5,3,6,3
3,3,3,6,2
3,3,3,6,3
3,3,2,6,3
3,5,5,6,3
3,5,4,6,3
3,3,5,6,2
3,4,4,6,3
3,3,3,6,2
3,4,4,6,3
3,4,3,6,3
3,5,4,6,3
3,3,5,6,3
3,3,3,6,1
3,4,4,6,3
4,4,2,1,4
4,3,6,1,2
4,5,5,1,3
4,4,5,1,3
4,4,5,1,3
4,6,4,1,4
4,3,5,1,3
4,6,3,1,4
4,5,5,1,4
4,5,4,1,3
4,5,4,1,4
4,3,3,1,5
4,5,5,1,4
4,4,5,1,4
4,3,4,1,3
4,4,5,1,3
4,5,6,1,3
4,5,4,1,2
4,4,4,1,3
4,4,4,1,3
4,3,4,1,3
4,6,3,1,4
4,5,5,1,2
4,5,5,1,3
4,5,3,1,3
4,4,5,1,3
4,5,5,1,4
4,5,3,1,3
4,5,4,1,4
4,3,4,1,3
4,3,4,1,4
4,5,4,1,4
4,4,3,1,3
4,4,5,1,2
4,4,4,1,2
4,4,4,1,4
4,5,5,1,5
4,5,5,1,3
5,6,4,3,3
5,5,4,3,2
5,5,3,3,3
5,4,4,3,3
5,4,4,3,1
5,3,5,3,3
5,4,3,3,2
5,4,5,3,4
5,5,4,3,3
5,5,3,3,2
5,5,3,3,3
5,4,2,3,3
5,4,4,3,2
5,2,4,3,3
5,4,5,3,3
5,5,5,3,3
5,4,3,3,3
5,4,2,3,2
5,2,3,3,3
5,5,4,3,2
5,4,6,3,3
5,4,3,3,3
5,4,4,3,2
5,5,4,3,3
5,5,4,3,3
5,4,5,3,3
5,4,4,3,2
5,6,2,3,2
5,5,4,3,3
5,5,3,3,3
5,3,3,3,2
5,5,3,3,3
5,6,4,3,2
5,6,4,3,3
5,5,5,3,2
5,5,3,3,2
6,5,4,4,4
6,5,4,4,3
6,4,3,4,3
6,5,4,4,4
6,5,5,4,4
6,4,5,4,4
6,5,5,4,3
6,5,3,4,4
6,6,5,4,3
6,4,2,4,3
6,5,2,4,3
6,5,5,4,3
6,5,3,4,4
6,3,5,4,4
6,6,5,4,4
6,6,5,4,3
6,4,5,4,4
6,6,4,4,3
6,5,5,4,3
6,5,5,4,3
6,5,6,4,3
6,4,3,4,3
6,5,4,4,3
6,2,4,4,2
6,6,5,4,3
6,3,5,4,4
6,5,5,4,4
6,4,3,4,4
6,2,5,4,3
6,4,5,4,3
6,6,5,4,2
6,5,3,4,3
6,3,4,4,2
6,5,2,4,3
6,4,6,4,4
6,4,5,4,3
6,5,6,4,5
6,3,5,4,3
6,6,2,4,3
6,6,4,4,3
6,4,6,4,3
6,4,5,4,3
7,5,5,5,2
7,6,3,5,2
7,4,3,5,3
7,5,5,5,2
7,4,5,5,3
7,4,4,5,4
7,4,4,5,2
7,5,5,5,2
7,6,5,5,3
7,4,4,5,2
7,5,4,5,3
7,4,3,5,3
7,4,2,5,2
7,4,5,5,3
7,4,6,5,3
7,4,4,5,3
7,5,4,5,2
7,5,4,5,2
7,5,4,5,4
7,4,2,5,3
7,5,4,5,3
7,4,3,5,1
7,3,2,5,1
7,4,5,5,3
7,4,3,5,2
7,5,3,5,1
7,4,4,5,3
7,3,3,5,2
7,4,4,5,2
7,5,5,5,4
7,5,3,5,3
7,5,4,5,3
7,6,5,5,3
7,4,3,5,2
7,4,6,5,3
7,4,5,5,4
7,4,4,5,2
7,4,4,5,3
7,5,3,5,2
7,5,4,5,2
8,4,5,4,5
8,4,3,4,4
8,6,4,4,5
8,5,5,4,5
8,4,4,4,5
8,4,3,4,4
8,4,4,4,5
8,5,3,4,4
8,5,3,4,5
8,4,4,4,6
8,4,4,4,4
8,4,5,4,4
8,4,6,4,6
8,4,6,4,4
8,4,5,4,5
8,3,4,4,4
8,4,5,4,5
8,4,4,4,3
8,5,4,4,5
8,5,5,4,6
8,5,3,4,4
8,3,5,4,5
8,4,5,4,4
8,6,4,4,5
8,4,3,4,5
8,5,5,4,5
8,4,3,4,4
8,4,3,4,5
8,5,5,4,4
8,4,7,4,4
8,3,5,4,4
8,4,3,4,4
8,5,4,4,4
8,5,4,4,6
8,4,3,4,5
8,5,3,4,5
8,6,4,4,5
8,5,5,4,5
8,5,3,4,5
8,5,5,4,6
8,4,5,4,4
8,4,5,4,5
8,6,3,4,4
9,2,4,2,4
9,5,6,2,5
9,6,5,2,5
9,5,2,2,4
9,4,5,2,5
9,4,5,2,5
9,4,5,2,5
9,6,3,2,5
9,4,5,2,4
9,3,3,2,4
9,3,5,2,4
9,5,4,2,5
9,3,3,2,5
9,5,3,2,5
9,3,4,2,5
9,4,3,2,4
9,4,4,2,4
9,4,4,2,5
9,4,4,2,5
9,6,3,2,4
9,5,5,2,4
9,5,5,2,5
9,3,4,2,4
9,5,3,2,5
9,4,5,2,5
9,5,4,2,3
9,4,7,2,4
9,4,4,2,4
9,5,4,2,3
9,3,5,2,5
9,5,4,2,5
9,5,5,2,4
9,4,6,2,6
9,4,4,2,5
9,5,3,2,4
9,4,6,2,4
9,6,4,2,5
9,5,4,2,4
10,4,5,3,4
10,3,4,3,4
10,3,3,3,3
10,5,4,3,4
10,4,5,3,5
10,5,3,3,4
10,5,4,3,3
10,4,3,3,3
10,6,3,3,4
10,3,4,3,4
10,5,4,3,3
10,4,2,3,4
10,4,5,3,3
10,6,5,3,4
10,4,5,3,4
10,5,3,3,3
10,4,6,3,3
10,5,4,3,4
10,5,4,3,4
10,3,5,3,4
10,5,4,3,3
10,4,4,3,5
10,3,3,3,4
10,4,4,3,3
10,4,3,3,4
10,5,2,3,4
10,5,5,3,3
10,4,6,3,5
10,5,6,3,4
10,4,3,3,4
10,6,4,3,5
10,6,4,3,5
10,4,5,3,4
10,5,4,3,4
10,5,5,3,3
10,4,4,3,4
10,4,5,3,3
10,5,3,3,4
11,4,4,3,3
11,4,5,3,4
11,5,5,3,3
11,4,5,3,2
11,6,4,3,4
11,4,4,3,3
11,4,5,3,3
11,5,4,3,3
11,5,4,3,3
11,5,5,3,4
11,4,3,3,2
11,6,3,3,3
11,4,5,3,4
11,5,7,3,4
11,5,6,3,4
11,4,3,3,3
11,4,2,3,3
11,4,4,3,4
11,3,5,3,3
11,7,5,3,3
11,4,5,3,4
11,6,4,3,3
11,5,4,3,2
11,4,4,3,3
11,5,4,3,4
11,4,5,3,4
11,5,5,3,2
11,3,4,3,4
11,5,4,3,4
11,4,3,3,3
11,5,4,3,4
11,5,4,3,3
11,5,4,3,2
11,4,3,3,3
11,4,3,3,3
11,5,5,3,3
11,4,3,3,3
11,5,4,3,4
11,4,4,3,3
11,4,5,3,3
11,5,3,3,3
12,4,3,7,4
12,5,4,7,4
12,5,4,7,4
12,4,4,7,3
12,5,3,7,2
12,4,5,7,3
12,5,3,7,3
12,5,5,7,4
12,6,3,7,3
12,4,6,7,5
12,6,3,7,3
12,4,5,7,3
12,4,4,7,4
12,4,5,7,3
12,4,4,7,3
12,5,4,7,3
12,5,3,7,4
12,5,4,7,4
12,3,5,7,3
12,5,5,7,3
12,4,5,7,3
12,5,6,7,4
12,5,5,7,2
12,5,3,7,3
12,5,4,7,4
12,3,6,7,5
12,4,5,7,5
12,4,5,7,4
12,5,4,7,4
12,5,4,7,4
12,5,6,7,4
12,5,6,7,5
12,4,4,7,2
12,5,2,7,3
12,6,5,7,6
12,5,5,7,4
12,3,3,7,3
13,4,4,3,5
13,5,5,3,4
13,4,4,3,4
13,5,3,3,5
13,5,4,3,4
13,4,5,3,3
13,4,4,3,4
13,3,3,3,5
13,7,6,3,5
13,5,4,3,3
13,2,3,3,3
13,5,4,3,4
13,5,5,3,5
13,4,5,3,4
13,3,5,3,4
13,4,5,3,4
13,4,5,3,3
13,5,4,3,5
13,5,4,3,5
13,5,3,3,4
13,5,4,3,5
13,5,7,3,4
13,4,5,3,4
13,3,3,3,4
13,5,3,3,5
13,5,4,3,3
13,4,2,3,4
13,4,2,3,5
13,6,5,3,4
13,5,3,3,4
13,5,5,3,4
13,5,2,3,3
13,4,4,3,3
13,5,4,3,3
13,3,4,3,4
13,4,4,3,4
13,4,4,3,5
13,4,3,3,4
13,4,5,3,4
13,5,5,3,4
