"pid","female","y1","y2","y3","y4","y5"
1,0,3.22,2.78,2.78,1.89,3
2,0,3.67,3.67,3.22,1.44,3.33
3,0,2.33,2.33,3.22,2.33,2.67
4,0,5,3.22,3.67,3.67,3.33
5,0,2.78,3.22,1.44,3.22,4
6,0,2.78,2.78,1.89,4.11,2
7,0,4.56,3.67,2.78,2.78,3
8,0,2.78,3.22,4.11,2.78,3.33
9,0,4.11,3.22,4.11,2.33,3
10,0,3.22,2.78,2.33,2.33,3.33
11,0,4.56,3.67,3.67,2.78,3.67
12,0,3.67,2.33,1.89,3.67,3.67
13,0,3.22,3.67,2.78,1.89,2.67
14,0,2.78,2.78,1.89,1.44,2
15,0,2.33,3.22,1.44,4.56,4.33
16,0,3.22,3.22,3.22,1.44,3.33
17,0,3.67,2.78,3.22,3.67,2
18,0,4.11,3.22,3.67,2.33,3.67
19,0,4.56,2.33,3.22,2.78,3.67
20,0,4.11,3.22,3.67,2.78,3
21,0,4.56,4.11,2.33,2.33,3.67
22,0,4.11,4.11,2.78,2.78,3
23,0,3.22,2.78,3.67,2.33,3
24,0,3.22,1.89,1.89,1.44,2.33
25,0,4.11,3.22,1.89,2.33,4
26,0,3.67,3.22,1.44,2.78,3.33
27,0,3.22,2.78,3.67,2.33,2.67
28,0,3.67,3.22,2.33,2.33,1.67
29,0,3.67,1.89,2.33,3.22,3
30,0,4.11,2.33,4.11,2.78,2.67
31,0,4.11,4.56,4.11,2.33,3.33
32,0,3.67,3.67,2.78,1.89,3
33,0,4.11,3.67,3.22,2.78,2.67
34,0,3.67,2.33,2.33,1.44,4
35,0,3.67,3.22,1.89,1.44,2.33
36,0,3.67,3.67,1.89,1.89,3.33
37,0,3.22,2.33,3.67,3.67,2
38,0,3.22,2.33,2.78,2.33,3.33
39,0,3.22,3.22,4.11,3.67,3
40,0,3.67,3.22,2.33,2.78,3.67
41,0,4.11,2.78,2.78,1.89,3
42,0,4.11,2.33,2.78,2.78,2.67
43,0,3.67,4.11,2.78,1.89,3.67
44,0,4.11,3.22,2.78,3.22,3
45,0,3.67,2.78,2.78,2.33,2.33
46,0,2.78,2.78,4.11,2.33,2.33
47,0,4.11,2.78,3.22,3.22,3
48,0,2.78,2.78,2.78,3.22,4
49,0,2.78,2.78,2.33,2.78,3.33
50,0,4.56,3.67,2.33,2.33,3.67
51,0,3.67,3.67,3.67,2.33,3
52,0,3.67,3.22,1.44,2.33,3
53,0,2.78,2.78,3.22,2.78,3.33
54,0,2.78,2.33,3.22,2.78,2
55,0,4.11,3.22,2.33,3.22,4.67
56,0,4.11,4.11,3.67,3.22,4
57,0,3.22,2.33,2.78,2.33,3.33
58,0,2.78,2.33,1.89,2.33,3
59,0,3.22,3.67,2.78,3.22,3.33
60,0,4.56,2.33,3.22,2.33,2.67
61,0,4.11,4.11,3.67,3.22,4.33
62,0,4.11,2.33,3.22,3.22,2.67
63,0,4.11,3.22,2.33,1.89,4
64,0,4.11,2.78,2.78,2.78,3
65,0,3.22,1.89,1.89,1.89,3.67
66,0,3.22,3.67,2.33,1.89,3.67
67,0,2.78,2.33,2.78,1.44,2.33
68,0,4.11,3.22,2.78,3.22,4
69,0,3.22,3.22,4.56,2.33,2.33
70,0,4.56,4.11,3.22,3.67,4
71,0,3.67,3.22,2.78,2.33,3.67
72,0,3.22,2.33,2.78,2.33,2.67
73,0,3.67,3.67,3.67,2.78,3
74,0,3.22,2.33,2.78,2.33,2.33
75,0,3.67,2.33,1.44,2.33,2.67
76,0,4.11,3.67,2.78,1.89,3.33
77,0,3.67,3.22,3.67,1.89,2.33
