"pid","gid","y1","y2","y3","ix","gx"
1,1,4,4,7,5,0
2,1,2,3,4,4,0
3,1,4,6,5,3,0
4,1,4,4,5,2,0
5,1,3,5,6,4,0
6,1,4,5,5,3,0
7,1,4,3,5,4,0
8,1,5,5,6,4,0
9,1,4,4,5,4,0
10,1,3,5,5,4,0
11,1,3,5,6,3,0
12,1,4,4,5,4,0
13,1,3,4,5,3,0
14,1,3,5,5,4,0
15,1,3,3,5,5,0
16,1,5,5,6,3,0
17,1,3,5,5,3,0
18,1,3,4,5,3,0
19,1,3,4,5,5,0
20,1,5,4,5,3,0
21,1,3,3,5,5,0
22,1,4,4,4,4,0
23,1,4,5,5,3,0
24,1,4,4,6,4,0
25,2,4,5,6,4,0
26,2,2,3,4,5,0
27,2,5,4,6,3,0
28,2,4,5,5,5,0
29,2,5,5,6,4,0
30,2,3,4,4,5,0
31,2,4,5,4,3,0
32,2,5,5,4,4,0
33,2,4,4,5,4,0
34,2,4,5,5,4,0
35,2,3,5,5,4,0
36,2,4,4,5,2,0
37,2,3,4,4,5,0
38,2,3,5,5,4,0
39,2,4,4,5,3,0
40,2,5,5,6,5,0
41,2,5,5,5,4,0
42,2,5,4,5,3,0
43,2,4,5,5,4,0
44,2,5,5,4,5,0
45,2,4,5,5,3,0
46,2,4,4,6,5,0
47,2,5,5,6,6,0
48,2,4,6,6,4,0
49,2,2,4,3,2,0
50,2,3,5,5,4,0
51,2,5,6,6,4,0
52,3,5,4,5,4,0
53,3,4,4,4,4,0
54,3,3,4,4,4,0
55,3,3,4,4,4,0
56,3,2,3,4,4,0
57,3,2,3,4,5,0
58,3,4,3,4,4,0
59,3,4,4,5,4,0
60,3,4,4,5,3,0
61,3,5,5,6,4,0
62,3,4,4,4,4,0
63,3,4,5,6,4,0
64,3,4,3,5,4,0
65,3,4,5,5,3,0
66,3,4,5,5,4,0
67,3,5,6,6,3,0
68,3,3,3,4,4,0
69,3,3,4,5,4,0
70,3,5,5,6,5,0
71,3,4,3,3,4,0
72,3,3,4,4,4,0
73,3,4,4,5,4,0
74,3,5,5,6,3,0
75,3,5,4,6,3,0
76,3,5,5,6,4,0
77,3,4,5,4,3,0
78,4,5,4,4,3,0
79,4,2,3,3,3,0
80,4,4,4,4,3,0
81,4,3,5,5,3,0
82,4,4,4,5,4,0
83,4,5,6,6,3,0
84,4,4,4,6,2,0
85,4,5,5,6,4,0
86,4,6,4,5,3,0
